[0 : output] Output to be read-from/written-into folder '.', with prefix '1_act_desidr2'
[0 : camb] `camb` module loaded successfully from /mnt/project_mnt/farm_fs/mraveri/projects/cobaya/code/CAMB/camb
[2 : bao.desi_dr2.desi_bao_all] Initialized.
[1 : bao.desi_dr2.desi_bao_all] Initialized.
[0 : bao.desi_dr2.desi_bao_all] Initialized.
[3 : bao.desi_dr2.desi_bao_all] Initialized.
[1 : mcmc] Getting initial point... (this may take a few seconds)
[3 : mcmc] Getting initial point... (this may take a few seconds)
[0 : mcmc] Getting initial point... (this may take a few seconds)
[2 : mcmc] Getting initial point... (this may take a few seconds)
[0 : mcmc] Initial point: logA:3.050181, ns:0.9673007, theta_MC_100:1.041356, ombh2:0.02243799, omch2:0.1210547, w:-0.9950241, wa:-0.04221412, tau:0.06395264, A_planck:1.000483
[1 : mcmc] Initial point: logA:3.049052, ns:0.9647156, theta_MC_100:1.041457, ombh2:0.02236521, omch2:0.1176731, w:-0.9699729, wa:-0.04763688, tau:0.05559546, A_planck:1.000815
[3 : mcmc] Initial point: logA:3.048422, ns:0.9715545, theta_MC_100:1.041329, ombh2:0.02234652, omch2:0.1203664, w:-0.9946421, wa:-0.02643263, tau:0.06361719, A_planck:1.001816
[2 : mcmc] Initial point: logA:3.050913, ns:0.9593926, theta_MC_100:1.040665, ombh2:0.02225635, omch2:0.1199199, w:-1.012925, wa:0.06248166, tau:0.05798221, A_planck:0.9994293
[0 : model] Measuring speeds... (this may take a few seconds)
[0 : model] Setting measured speeds (per sec): {bao.desi_dr2.desi_bao_all: 892.0, planck_2018_lowl.TT: 1810.0, planck_2018_lowl.EE_sroll2: 11500.0, act_dr6_cmbonly.PlanckActCut: 692.0, camb.transfers: 0.325, camb: 0.878}
[0 : mcmc] Dragging with number of interpolating steps:
[0 : mcmc] * 1 : [['theta_MC_100', 'ombh2', 'omch2', 'w', 'wa', 'tau'], ['logA', 'ns']]
[0 : mcmc] * 2 : [['A_planck']]
[0 : autoselect_covmat] No cached covmat database present, not usable or not up-to-date. Will be re-created and cached.
[0 : mcmc] Covariance matrix selected automatically: /mnt/project_mnt/farm_fs/mraveri/projects/cobaya/data/planck_supp_data_and_covmats/covmats/base_w_wa_BAO_TT_lowE_lowl_plikHM.covmat
[0 : mcmc] Covariance matrix loaded for params ['ombh2', 'omch2', 'theta_MC_100', 'tau', 'w', 'wa', 'logA', 'ns', 'A_planck']
[0 : mcmc] All parameters' covariance loaded from given covmat.
[0 : mcmc] Sampling!
[2 : mcmc] Progress @ 2025-04-07 17:59:56 : 1 steps taken, and 0 accepted.
[3 : mcmc] Progress @ 2025-04-07 17:59:56 : 1 steps taken, and 0 accepted.
[0 : mcmc] Progress @ 2025-04-07 17:59:59 : 1 steps taken, and 0 accepted.
[1 : mcmc] Progress @ 2025-04-07 17:59:59 : 1 steps taken, and 0 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:00:59 : 18 steps taken, and 5 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:00:59 : 20 steps taken, and 4 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:01:00 : 19 steps taken, and 3 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:01:00 : 19 steps taken, and 6 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:02:00 : 40 steps taken, and 14 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:02:01 : 38 steps taken, and 8 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:02:01 : 38 steps taken, and 8 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:02:01 : 38 steps taken, and 9 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:03:02 : 58 steps taken, and 15 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:03:02 : 62 steps taken, and 21 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:03:04 : 56 steps taken, and 14 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:03:06 : 56 steps taken, and 18 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:04:02 : 76 steps taken, and 21 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:04:03 : 82 steps taken, and 24 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:04:06 : 75 steps taken, and 25 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:04:08 : 74 steps taken, and 21 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:05:04 : 104 steps taken, and 31 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:05:06 : 95 steps taken, and 26 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:05:06 : 93 steps taken, and 29 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:05:10 : 94 steps taken, and 24 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:06:04 : 122 steps taken, and 36 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:06:10 : 113 steps taken, and 32 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:06:10 : 111 steps taken, and 33 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:06:12 : 111 steps taken, and 28 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:07:08 : 140 steps taken, and 43 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:07:13 : 129 steps taken, and 32 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:07:14 : 133 steps taken, and 38 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:07:14 : 129 steps taken, and 36 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:08:10 : 157 steps taken, and 48 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:08:14 : 149 steps taken, and 39 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:08:15 : 148 steps taken, and 42 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:08:17 : 158 steps taken, and 46 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:09:12 : 177 steps taken, and 55 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:09:14 : 167 steps taken, and 42 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:09:15 : 166 steps taken, and 48 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:09:20 : 181 steps taken, and 55 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:10:16 : 196 steps taken, and 59 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:10:18 : 185 steps taken, and 46 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:10:19 : 184 steps taken, and 50 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:10:21 : 205 steps taken, and 60 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:11:18 : 217 steps taken, and 66 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:11:18 : 203 steps taken, and 51 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:11:22 : 226 steps taken, and 64 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:11:23 : 202 steps taken, and 54 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:12:19 : 236 steps taken, and 72 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:12:19 : 221 steps taken, and 58 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:12:23 : 244 steps taken, and 68 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:12:25 : 223 steps taken, and 62 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:13:22 : 261 steps taken, and 79 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:13:23 : 240 steps taken, and 66 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:13:27 : 262 steps taken, and 76 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:13:29 : 241 steps taken, and 65 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:14:24 : 259 steps taken, and 72 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:14:24 : 278 steps taken, and 81 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:14:28 : 281 steps taken, and 79 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:14:31 : 261 steps taken, and 73 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:15:24 : 296 steps taken, and 85 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:15:25 : 277 steps taken, and 74 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:15:29 : 300 steps taken, and 85 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:15:31 : 284 steps taken, and 78 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:16:25 : 315 steps taken, and 90 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:16:28 : 296 steps taken, and 80 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:16:33 : 322 steps taken, and 90 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:16:35 : 302 steps taken, and 84 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:17:29 : 314 steps taken, and 83 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:17:29 : 333 steps taken, and 95 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:17:34 : 341 steps taken, and 96 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:17:36 : 320 steps taken, and 88 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:18:30 : 353 steps taken, and 102 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:18:33 : 333 steps taken, and 84 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:18:36 : 363 steps taken, and 102 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:18:40 : 338 steps taken, and 93 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:19:31 : 373 steps taken, and 110 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:19:33 : 351 steps taken, and 86 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:19:37 : 382 steps taken, and 106 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:19:40 : 356 steps taken, and 103 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:20:34 : 370 steps taken, and 94 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:20:34 : 391 steps taken, and 118 accepted.
[3 : mcmc] Progress @ 2025-04-07 18:20:41 : 401 steps taken, and 112 accepted.
[0 : mcmc] Progress @ 2025-04-07 18:20:41 : 375 steps taken, and 107 accepted.
[1 : mcmc] Progress @ 2025-04-07 18:21:35 : 391 steps taken, and 101 accepted.
[2 : mcmc] Progress @ 2025-04-07 18:21:35 : 409 steps taken, and 126 accepted.
